Rank,year,title,letterboxd_url
670,1928,The Cameraman,https://letterboxd.com/film/the-cameraman/
671,1941,Hellzapoppin',https://letterboxd.com/film/hellzapoppin/
672,1983,The Right Stuff,https://letterboxd.com/film/the-right-stuff/
673,1941,Ball of Fire,https://letterboxd.com/film/ball-of-fire/
674,1943,The More the Merrier,https://letterboxd.com/film/the-more-the-merrier/
675,2023,Oppenheimer,https://letterboxd.com/film/oppenheimer-2023/
676,1931,Marius,https://letterboxd.com/film/marius/
677,1927,October (Ten Days that Shook the World),https://letterboxd.com/film/october-ten-days-that-shook-the-world/
678,1932,Horse Feathers,https://letterboxd.com/film/horse-feathers/
679,1930,City Girl,https://letterboxd.com/film/city-girl/
680,2000,Gladiator,https://letterboxd.com/film/gladiator-2000/
681,2021,Drive My Car,https://letterboxd.com/film/drive-my-car/
682,2006,The Lives of Others,https://letterboxd.com/film/the-lives-of-others/
683,1966,The Sword of Doom,https://letterboxd.com/film/the-sword-of-doom/
684,2004,Eternal Sunshine of the Spotless Mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
685,1960,Late Autumn,https://letterboxd.com/film/late-autumn/
686,1939,Love Affair,https://letterboxd.com/film/love-affair-1939/
687,1985,El Keif,https://letterboxd.com/film/el-keif/
688,1967,Point Blank,https://letterboxd.com/film/point-blank/
689,1958,The Ballad of Narayama,https://letterboxd.com/film/the-ballad-of-narayama-1958/
690,1958,Big Deal on Madonna Street,https://letterboxd.com/film/big-deal-on-madonna-street/
691,1987,Pelle the Conqueror,https://letterboxd.com/film/pelle-the-conqueror/
692,1959,Fires on the Plain,https://letterboxd.com/film/fires-on-the-plain/
693,1997,Princess Mononoke,https://letterboxd.com/film/princess-mononoke/
694,1964,Pale Flower,https://letterboxd.com/film/pale-flower/
695,1979,Tess,https://letterboxd.com/film/tess/
696,1974,Alice in the Cities,https://letterboxd.com/film/alice-in-the-cities/
697,1982,The Verdict,https://letterboxd.com/film/the-verdict-1982/
698,1983,El Sur,https://letterboxd.com/film/el-sur/
699,1959,The Bridge,https://letterboxd.com/film/the-bridge-1959/
700,1945,Leave Her to Heaven,https://letterboxd.com/film/leave-her-to-heaven/
701,1951,Othello,https://letterboxd.com/film/othello-1951/
702,1971,The Working Class Goes to Heaven,https://letterboxd.com/film/the-working-class-goes-to-heaven/
703,1972,Deliverance,https://letterboxd.com/film/deliverance/
704,1988,Landscape in the Mist,https://letterboxd.com/film/landscape-in-the-mist/
705,1948,They Live by Night,https://letterboxd.com/film/they-live-by-night/
706,1988,Time of the Gypsies,https://letterboxd.com/film/time-of-the-gypsies/
707,1971,Dirty Harry,https://letterboxd.com/film/dirty-harry/
708,1970,The Land,https://letterboxd.com/film/the-land/
709,1974,Pastoral: To Die in the Country,https://letterboxd.com/film/pastoral-to-die-in-the-country/
710,1987,Withnail & I,https://letterboxd.com/film/withnail-i/
711,1958,Elevator to the Gallows,https://letterboxd.com/film/elevator-to-the-gallows/
712,1940,The Thief of Bagdad,https://letterboxd.com/film/the-thief-of-bagdad-1940/
713,1981,Chariots of Fire,https://letterboxd.com/film/chariots-of-fire/
714,2007,"4 Months, 3 Weeks and 2 Days",https://letterboxd.com/film/4-months-3-weeks-and-2-days/
715,1943,The Song of Bernadette,https://letterboxd.com/film/the-song-of-bernadette/
716,1961,"Léon Morin, Priest",https://letterboxd.com/film/leon-morin-priest/
717,1930,Earth,https://letterboxd.com/film/earth-1930/
718,1979,Vengeance Is Mine,https://letterboxd.com/film/vengeance-is-mine/
719,1944,Lifeboat,https://letterboxd.com/film/lifeboat/
720,1955,Kiss Me Deadly,https://letterboxd.com/film/kiss-me-deadly/
721,1966,Black Girl,https://letterboxd.com/film/black-girl-1966/
722,1962,The Longest Day,https://letterboxd.com/film/the-longest-day/
723,1922,Häxan,https://letterboxd.com/film/haxan/
724,1985,Mishima: A Life in Four Chapters,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
725,2002,The Lord of the Rings: The Two Towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
726,2004,Million Dollar Baby,https://letterboxd.com/film/million-dollar-baby/
727,1996,Trainspotting,https://letterboxd.com/film/trainspotting/
728,1958,Auntie Mame,https://letterboxd.com/film/auntie-mame/
729,1942,The Palm Beach Story,https://letterboxd.com/film/the-palm-beach-story/
730,1933,Little Women,https://letterboxd.com/film/little-women/
731,1960,Elmer Gantry,https://letterboxd.com/film/elmer-gantry/
732,1984,Repentance,https://letterboxd.com/film/repentance/
733,2003,The Best of Youth,https://letterboxd.com/film/the-best-of-youth/
734,2024,Anora,https://letterboxd.com/film/anora/
735,1924,The Navigator,https://letterboxd.com/film/the-navigator/
736,1947,Crossfire,https://letterboxd.com/film/crossfire/
737,1991,Hearts of Darkness: A Filmmaker's Apocalypse,https://letterboxd.com/film/hearts-of-darkness-a-filmmakers-apocalypse/
738,1949,The Set-Up,https://letterboxd.com/film/the-set-up/
739,1956,Early Spring,https://letterboxd.com/film/early-spring/
740,1985,Taipei Story,https://letterboxd.com/film/taipei-story/
741,1979,The Very Same Munchhausen,https://letterboxd.com/film/the-very-same-munchhausen/
742,2013,12 Years a Slave,https://letterboxd.com/film/12-years-a-slave/
743,1995,Sense and Sensibility,https://letterboxd.com/film/sense-and-sensibility/
744,1955,Smiles of a Summer Night,https://letterboxd.com/film/smiles-of-a-summer-night/
745,1986,A Room with a View,https://letterboxd.com/film/a-room-with-a-view/
746,1927,7th Heaven,https://letterboxd.com/film/7th-heaven/
747,1928,"Steamboat Bill, Jr.",https://letterboxd.com/film/steamboat-bill-jr/
748,1951,The Day the Earth Stood Still,https://letterboxd.com/film/the-day-the-earth-stood-still/
749,2004,Before Sunset,https://letterboxd.com/film/before-sunset/
750,1935,David Copperfield,https://letterboxd.com/film/david-copperfield-1935/
751,1975,Picnic at Hanging Rock,https://letterboxd.com/film/picnic-at-hanging-rock/
752,2008,The Dark Knight,https://letterboxd.com/film/the-dark-knight/
753,1951,The River,https://letterboxd.com/film/the-river/
754,1952,The Bad and the Beautiful,https://letterboxd.com/film/the-bad-and-the-beautiful/
755,1988,Die Hard,https://letterboxd.com/film/die-hard/
756,1973,Serpico,https://letterboxd.com/film/serpico/
757,1924,He Who Gets Slapped,https://letterboxd.com/film/he-who-gets-slapped/
758,1988,"Distant Voices, Still Lives",https://letterboxd.com/film/distant-voices-still-lives/
759,1925,The Phantom of the Opera,https://letterboxd.com/film/the-phantom-of-the-opera/
760,1996,The English Patient,https://letterboxd.com/film/the-english-patient/
761,1998,The Celebration,https://letterboxd.com/film/the-celebration/
762,1975,Seven Beauties,https://letterboxd.com/film/seven-beauties/
763,1939,Daybreak,https://letterboxd.com/film/daybreak-1939/
764,1966,Daisies,https://letterboxd.com/film/daisies/
765,1977,Suspiria,https://letterboxd.com/film/suspiria/
766,1980,Moscow Does Not Believe in Tears,https://letterboxd.com/film/moscow-does-not-believe-in-tears/
767,1961,"One, Two, Three",https://letterboxd.com/film/one-two-three/
768,1972,The Dawns Here Are Quiet,https://letterboxd.com/film/the-dawns-here-are-quiet/
769,1934,The Goddess,https://letterboxd.com/film/the-goddess-1934/
770,1970,A Touch of Zen,https://letterboxd.com/film/a-touch-of-zen/
771,1985,The Time to Live and the Time to Die,https://letterboxd.com/film/the-time-to-live-and-the-time-to-die/
772,1974,The Phantom of Liberty,https://letterboxd.com/film/the-phantom-of-liberty/
773,1975,The Pinchcliffe Grand Prix,https://letterboxd.com/film/the-pinchcliffe-grand-prix/
774,1985,The Color Purple,https://letterboxd.com/film/the-color-purple/
775,1970,M*A*S*H,https://letterboxd.com/film/mash/
776,1998,The Thin Red Line,https://letterboxd.com/film/the-thin-red-line/
777,1946,The Killers,https://letterboxd.com/film/the-killers/
778,1962,Mafioso,https://letterboxd.com/film/mafioso/
779,1997,Boogie Nights,https://letterboxd.com/film/boogie-nights/
780,1973,The Day of the Jackal,https://letterboxd.com/film/the-day-of-the-jackal/
781,1995,Casino,https://letterboxd.com/film/casino/
782,1968,Memories of Underdevelopment,https://letterboxd.com/film/memories-of-underdevelopment/
783,1924,The Thief of Bagdad,https://letterboxd.com/film/the-thief-of-bagdad/
784,1927,The Unknown,https://letterboxd.com/film/the-unknown/
785,1936,Libeled Lady,https://letterboxd.com/film/libeled-lady/
786,1941,Here Comes Mr. Jordan,https://letterboxd.com/film/here-comes-mr-jordan/
787,1999,The Insider,https://letterboxd.com/film/the-insider/
788,1976,Carrie,https://letterboxd.com/film/carrie-1976/
789,1988,Akira,https://letterboxd.com/film/akira/
790,1940,The Mortal Storm,https://letterboxd.com/film/the-mortal-storm/
791,2021,Bo Burnham: Inside,https://letterboxd.com/film/bo-burnham-inside/
792,1951,The Browning Version,https://letterboxd.com/film/the-browning-version/
793,1964,Gertrud,https://letterboxd.com/film/gertrud/
794,1991,Thalapathi,https://letterboxd.com/film/thalapathi/
795,1944,Hail the Conquering Hero,https://letterboxd.com/film/hail-the-conquering-hero/
796,1948,Oliver Twist,https://letterboxd.com/film/oliver-twist-1948/
797,1949,Battleground,https://letterboxd.com/film/battleground-1949/
798,1970,Days and Nights in the Forest,https://letterboxd.com/film/days-and-nights-in-the-forest/
799,1938,Alexander Nevsky,https://letterboxd.com/film/alexander-nevsky/
800,1956,The Ten Commandments,https://letterboxd.com/film/the-ten-commandments-1956/
801,1966,Le Deuxième Souffle,https://letterboxd.com/film/le-deuxieme-souffle/
802,1983,Sagara Sangamam,https://letterboxd.com/film/sagara-sangamam/
803,1993,The Remains of the Day,https://letterboxd.com/film/the-remains-of-the-day/
804,1932,Love Me Tonight,https://letterboxd.com/film/love-me-tonight/
805,1976,Mikey and Nicky,https://letterboxd.com/film/mikey-and-nicky/
806,1994,To Live,https://letterboxd.com/film/to-live/
807,2005,Brokeback Mountain,https://letterboxd.com/film/brokeback-mountain/
808,2021,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",https://letterboxd.com/film/summer-of-soul-or-when-the-revolution-could/
809,1937,The Life of Emile Zola,https://letterboxd.com/film/the-life-of-emile-zola/
810,1944,Arsenic and Old Lace,https://letterboxd.com/film/arsenic-and-old-lace/
811,1963,The Organizer,https://letterboxd.com/film/the-organizer/
812,1971,Two-Lane Blacktop,https://letterboxd.com/film/two-lane-blacktop/
813,2023,Past Lives,https://letterboxd.com/film/past-lives/
814,1982,Veronika Voss,https://letterboxd.com/film/veronika-voss/
815,2018,Roma,https://letterboxd.com/film/roma-2018/
816,1953,Gate of Hell,https://letterboxd.com/film/gate-of-hell/
817,1961,Breakfast at Tiffany's,https://letterboxd.com/film/breakfast-at-tiffanys/
818,2012,The Act of Killing,https://letterboxd.com/film/the-act-of-killing/
819,2000,Memento,https://letterboxd.com/film/memento/
820,1966,The War Game,https://letterboxd.com/film/the-war-game/
821,1989,Kiki's Delivery Service,https://letterboxd.com/film/kikis-delivery-service/
822,1939,Destry Rides Again,https://letterboxd.com/film/destry-rides-again/
823,1963,Hud,https://letterboxd.com/film/hud/
824,2024,Wallace & Gromit: Vengeance Most Fowl,https://letterboxd.com/film/wallace-gromit-vengeance-most-fowl/
825,1942,Cat People,https://letterboxd.com/film/cat-people/
826,1985,The Official Story,https://letterboxd.com/film/the-official-story/
827,1994,Through the Olive Trees,https://letterboxd.com/film/through-the-olive-trees/
828,1961,Placido,https://letterboxd.com/film/placido/
829,1968,Yellow Submarine,https://letterboxd.com/film/yellow-submarine/
830,2021,Come from Away,https://letterboxd.com/film/come-from-away/
831,1946,Panic,https://letterboxd.com/film/panic/
832,1976,News from Home,https://letterboxd.com/film/news-from-home/
833,1986,The Green Ray,https://letterboxd.com/film/the-green-ray/
834,1987,Broadcast News,https://letterboxd.com/film/broadcast-news/
835,1955,East of Eden,https://letterboxd.com/film/east-of-eden/
836,1977,21 Up,https://letterboxd.com/film/21-up/
837,1993,The Fugitive,https://letterboxd.com/film/the-fugitive-1993/
838,1960,Letter Never Sent,https://letterboxd.com/film/letter-never-sent/
839,1934,The Gay Divorcee,https://letterboxd.com/film/the-gay-divorcee/
840,1955,The Ladykillers,https://letterboxd.com/film/the-ladykillers/
841,1972,The Bitter Tears of Petra von Kant,https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/
842,1987,The Princess Bride,https://letterboxd.com/film/the-princess-bride/
843,1965,The Saragossa Manuscript,https://letterboxd.com/film/the-saragossa-manuscript/
844,1992,"Life, and Nothing More…",https://letterboxd.com/film/life-and-nothing-more/
845,1962,Mamma Roma,https://letterboxd.com/film/mamma-roma/
846,1963,America America,https://letterboxd.com/film/america-america/
847,1968,Death by Hanging,https://letterboxd.com/film/death-by-hanging/
848,1971,Punishment Park,https://letterboxd.com/film/punishment-park/
849,2000,The Gleaners and I,https://letterboxd.com/film/the-gleaners-and-i/
850,1984,The Times of Harvey Milk,https://letterboxd.com/film/the-times-of-harvey-milk/
851,1956,Bob le Flambeur,https://letterboxd.com/film/bob-le-flambeur/
852,1975,The Promised Land,https://letterboxd.com/film/the-promised-land-1975/
853,1996,"Pretty Village, Pretty Flame",https://letterboxd.com/film/pretty-village-pretty-flame/
854,1974,Bring Me the Head of Alfredo Garcia,https://letterboxd.com/film/bring-me-the-head-of-alfredo-garcia/
855,1997,Titanic,https://letterboxd.com/film/titanic-1997/
856,1954,French Cancan,https://letterboxd.com/film/french-cancan/
857,1965,The Hill,https://letterboxd.com/film/the-hill/
858,1976,Tosun Pasha,https://letterboxd.com/film/tosun-pasha/
859,2021,Flee,https://letterboxd.com/film/flee-2021/
860,1943,Heaven Can Wait,https://letterboxd.com/film/heaven-can-wait/
861,1965,Simon of the Desert,https://letterboxd.com/film/simon-of-the-desert/
862,1983,Tender Mercies,https://letterboxd.com/film/tender-mercies/
863,1948,The Snake Pit,https://letterboxd.com/film/the-snake-pit/
864,1961,Chronicle of a Summer,https://letterboxd.com/film/chronicle-of-a-summer/
865,1974,Hearts and Minds,https://letterboxd.com/film/hearts-and-minds/
866,1991,Kit Kat,https://letterboxd.com/film/kit-kat/
867,2003,Oldboy,https://letterboxd.com/film/oldboy/
868,1989,The Killer,https://letterboxd.com/film/the-killer/
869,1941,Sergeant York,https://letterboxd.com/film/sergeant-york/
870,1999,The Matrix,https://letterboxd.com/film/the-matrix/
871,1956,Street of Shame,https://letterboxd.com/film/street-of-shame/
872,1975,Love and Death,https://letterboxd.com/film/love-and-death/
873,1999,The Iron Giant,https://letterboxd.com/film/the-iron-giant/
874,1947,Jenny Lamour,https://letterboxd.com/film/jenny-lamour/
875,1987,Babette's Feast,https://letterboxd.com/film/babettes-feast/
876,1948,Spring in a Small Town,https://letterboxd.com/film/spring-in-a-small-town/
877,2004,Nobody Knows,https://letterboxd.com/film/nobody-knows/
878,1945,Detour,https://letterboxd.com/film/detour/
879,1976,The Foster Brothers,https://letterboxd.com/film/the-foster-brothers/
880,1978,Blue Collar,https://letterboxd.com/film/blue-collar/
881,1926,A Page of Madness,https://letterboxd.com/film/a-page-of-madness/
882,1980,My American Uncle,https://letterboxd.com/film/my-american-uncle/
883,1988,Women on the Verge of a Nervous Breakdown,https://letterboxd.com/film/women-on-the-verge-of-a-nervous-breakdown/
884,1973,Ivan Vasilyevich Changes His Profession,https://letterboxd.com/film/ivan-vasilyevich-changes-his-profession/
885,1975,Deep Red,https://letterboxd.com/film/deep-red/
886,1933,42nd Street,https://letterboxd.com/film/42nd-street/
887,1982,Burden of Dreams,https://letterboxd.com/film/burden-of-dreams/
888,1973,My Dear Brother,https://letterboxd.com/film/my-dear-brother/
889,1971,Harold and Maude,https://letterboxd.com/film/harold-and-maude/
890,1978,Neşeli Günler,https://letterboxd.com/film/neseli-gunler/
891,1981,Possession,https://letterboxd.com/film/possession/
892,1993,Jurassic Park,https://letterboxd.com/film/jurassic-park/
893,2015,Spotlight,https://letterboxd.com/film/spotlight/
894,1994,In the Heat of the Sun,https://letterboxd.com/film/in-the-heat-of-the-sun/
895,2003,Memories of Murder,https://letterboxd.com/film/memories-of-murder/
896,1948,Johnny Belinda,https://letterboxd.com/film/johnny-belinda/
897,1955,Bad Day at Black Rock,https://letterboxd.com/film/bad-day-at-black-rock/
898,1960,Purple Noon,https://letterboxd.com/film/purple-noon/
899,1972,Fat City,https://letterboxd.com/film/fat-city/
900,1976,Kings of the Road,https://letterboxd.com/film/kings-of-the-road/
901,1978,Dawn of the Dead,https://letterboxd.com/film/dawn-of-the-dead/
902,1984,The Holy Innocents,https://letterboxd.com/film/the-holy-innocents/
903,1987,Full Metal Jacket,https://letterboxd.com/film/full-metal-jacket/
904,1969,Salesman,https://letterboxd.com/film/salesman/
905,1999,Being John Malkovich,https://letterboxd.com/film/being-john-malkovich/
906,1922,Nanook of the North,https://letterboxd.com/film/nanook-of-the-north/
907,1937,Lost Horizon,https://letterboxd.com/film/lost-horizon/
908,1931,Dr. Jekyll and Mr. Hyde,https://letterboxd.com/film/dr-jekyll-and-mr-hyde-1931/
909,1958,A Night to Remember,https://letterboxd.com/film/a-night-to-remember/
910,1993,Short Cuts,https://letterboxd.com/film/short-cuts/
911,1965,Darling,https://letterboxd.com/film/darling/
912,1973,Lady Snowblood,https://letterboxd.com/film/lady-snowblood/
913,1984,28 Up,https://letterboxd.com/film/28-up/
914,1964,Zorba the Greek,https://letterboxd.com/film/zorba-the-greek/
915,1977,Mimino,https://letterboxd.com/film/mimino/
916,1956,Giant,https://letterboxd.com/film/giant/
917,1980,Coal Miner's Daughter,https://letterboxd.com/film/coal-miners-daughter/
918,2001,Y Tu Mamá También,https://letterboxd.com/film/y-tu-mama-tambien/
919,1949,Stray Dog,https://letterboxd.com/film/stray-dog/
920,1986,Jean de Florette,https://letterboxd.com/film/jean-de-florette/
921,2010,The King's Speech,https://letterboxd.com/film/the-kings-speech/
922,1942,"Now, Voyager",https://letterboxd.com/film/now-voyager/
923,1972,"What's Up, Doc?",https://letterboxd.com/film/whats-up-doc-1972/
924,1947,The Ghost and Mrs. Muir,https://letterboxd.com/film/the-ghost-and-mrs-muir/
925,1980,The Long Good Friday,https://letterboxd.com/film/the-long-good-friday/
926,1992,Aladdin,https://letterboxd.com/film/aladdin/
927,1968,The Swimmer,https://letterboxd.com/film/the-swimmer/
928,1975,My Friends,https://letterboxd.com/film/my-friends-1975/
929,2000,A Dog's Will,https://letterboxd.com/film/a-dogs-will/
930,2024,The Remarkable Life of Ibelin,https://letterboxd.com/film/the-remarkable-life-of-ibelin/
931,1981,The Decline of Western Civilization,https://letterboxd.com/film/the-decline-of-western-civilization/
932,1993,Manichitrathazhu,https://letterboxd.com/film/manichitrathazhu/
933,1952,Europe '51,https://letterboxd.com/film/europe-51/
934,1953,Little Fugitive,https://letterboxd.com/film/little-fugitive-1953/
935,1977,The Girl with the Red Scarf,https://letterboxd.com/film/the-girl-with-the-red-scarf/
936,1931,La Chienne,https://letterboxd.com/film/la-chienne/
937,1977,Office Romance,https://letterboxd.com/film/office-romance/
938,1978,In a Year with 13 Moons,https://letterboxd.com/film/in-a-year-with-13-moons/
939,1925,Ben-Hur: A Tale of the Christ,https://letterboxd.com/film/ben-hur-a-tale-of-the-christ/
940,1998,After Life,https://letterboxd.com/film/after-life/
941,2023,Perfect Days,https://letterboxd.com/film/perfect-days-2023/
942,1980,Breaker Morant,https://letterboxd.com/film/breaker-morant/
943,1982,Moondram Pirai,https://letterboxd.com/film/moondram-pirai/
944,1928,Lonesome,https://letterboxd.com/film/lonesome/
945,1962,Ride the High Country,https://letterboxd.com/film/ride-the-high-country/
946,1950,Winchester '73,https://letterboxd.com/film/winchester-73/
947,1988,A Short Film About Killing,https://letterboxd.com/film/a-short-film-about-killing/
948,1993,Naked,https://letterboxd.com/film/naked/
949,1978,An Unmarried Woman,https://letterboxd.com/film/an-unmarried-woman/
950,1979,Camera Buff,https://letterboxd.com/film/camera-buff/
951,1998,Central Station,https://letterboxd.com/film/central-station/
952,1943,Ossessione,https://letterboxd.com/film/ossessione/
953,1959,Kaagaz Ke Phool,https://letterboxd.com/film/kaagaz-ke-phool/
954,1967,Guess Who's Coming to Dinner,https://letterboxd.com/film/guess-whos-coming-to-dinner/
955,1968,Romeo and Juliet,https://letterboxd.com/film/romeo-and-juliet-1968/
956,1967,Titicut Follies,https://letterboxd.com/film/titicut-follies/
957,1950,Night and the City,https://letterboxd.com/film/night-and-the-city/
958,1955,To Catch a Thief,https://letterboxd.com/film/to-catch-a-thief/
959,1961,The Monkey King: Havoc in Heaven,https://letterboxd.com/film/the-monkey-king-havoc-in-heaven/
960,1968,Hour of the Wolf,https://letterboxd.com/film/hour-of-the-wolf/
961,1988,A Short Film About Love,https://letterboxd.com/film/a-short-film-about-love/
962,1930,L'Âge d'or,https://letterboxd.com/film/lage-dor/
963,1999,Beau Travail,https://letterboxd.com/film/beau-travail/
964,1956,Bigger Than Life,https://letterboxd.com/film/bigger-than-life/
965,1968,Stolen Kisses,https://letterboxd.com/film/stolen-kisses/
966,1987,Moonstruck,https://letterboxd.com/film/moonstruck/
967,2008,Dear Zachary: A Letter to a Son About His Father,https://letterboxd.com/film/dear-zachary-a-letter-to-a-son-about-his-father/
968,2019,For Sama,https://letterboxd.com/film/for-sama/
969,1955,Lola Montès,https://letterboxd.com/film/lola-montes/
970,1996,"Comrades, Almost a Love Story",https://letterboxd.com/film/comrades-almost-a-love-story/
971,2003,"Spring, Summer, Fall, Winter... and Spring",https://letterboxd.com/film/spring-summer-fall-winter-and-spring/
972,1950,Born Yesterday,https://letterboxd.com/film/born-yesterday/
973,1951,Detective Story,https://letterboxd.com/film/detective-story/
974,2008,Slumdog Millionaire,https://letterboxd.com/film/slumdog-millionaire/
975,2009,The White Ribbon,https://letterboxd.com/film/the-white-ribbon/
976,1928,Speedy,https://letterboxd.com/film/speedy/
977,1950,La Ronde,https://letterboxd.com/film/la-ronde/
978,1928,The Fall of the House of Usher,https://letterboxd.com/film/the-fall-of-the-house-of-usher/
979,1983,Style Wars,https://letterboxd.com/film/style-wars/
980,1958,Gigi,https://letterboxd.com/film/gigi/
981,1966,Hunger,https://letterboxd.com/film/hunger-1966/
982,1972,Lone Wolf and Cub: Baby Cart at the River Styx,https://letterboxd.com/film/lone-wolf-and-cub-baby-cart-at-the-river-styx/
983,2023,Spider-Man: Across the Spider-Verse,https://letterboxd.com/film/spider-man-across-the-spider-verse/
984,1945,Scarlet Street,https://letterboxd.com/film/scarlet-street/
985,1971,Land of Silence and Darkness,https://letterboxd.com/film/land-of-silence-and-darkness/
986,1969,The Cow,https://letterboxd.com/film/the-cow-1969/
987,1943,Le Corbeau,https://letterboxd.com/film/le-corbeau/
988,1994,Quiz Show,https://letterboxd.com/film/quiz-show/
989,2022,Hundreds of Beavers,https://letterboxd.com/film/hundreds-of-beavers/
990,1996,Breaking the Waves,https://letterboxd.com/film/breaking-the-waves/
991,1964,Kwaidan,https://letterboxd.com/film/kwaidan/
992,1968,Monterey Pop,https://letterboxd.com/film/monterey-pop/
993,1994,Eat Drink Man Woman,https://letterboxd.com/film/eat-drink-man-woman/
994,2011,The Artist,https://letterboxd.com/film/the-artist/
995,1977,An Average Little Man,https://letterboxd.com/film/an-average-little-man/
996,1952,The Flavor of Green Tea Over Rice,https://letterboxd.com/film/the-flavor-of-green-tea-over-rice/
997,1977,"One Sings, the Other Doesn't",https://letterboxd.com/film/one-sings-the-other-doesnt/
998,1991,Barton Fink,https://letterboxd.com/film/barton-fink/
999,1992,The Player,https://letterboxd.com/film/the-player/
1000,2016,Moonlight,https://letterboxd.com/film/moonlight-2016/
